,index,school,early,mid,major
0,0,Yale University,70700,145800,humanities
1,1,Princeton University,74300,141500,humanities
2,2,Colgate University,71500,138000,humanities
3,3,Dartmouth College,71100,132500,humanities
4,4,University of Notre Dame,63700,130900,humanities
5,5,Columbia University in the City of New York,68800,130500,humanities
6,6,Cornell University,70400,128600,humanities
7,7,Boston College,63400,127400,humanities
8,8,Harvard University,71400,127000,humanities
9,9,University of Pennsylvania,69600,126300,humanities
10,10,Brown University,69900,126300,humanities
11,11,Bucknell University,66700,125800,humanities
12,12,Williams College,67000,125800,humanities
13,13,Duke University,67600,125800,humanities
14,14,University of California-Berkeley,64400,125300,humanities
15,15,College of the Holy Cross,61900,123900,humanities
16,16,Santa Clara University,66500,123500,humanities
17,17,United States Air Force Academy,74700,122700,humanities
18,18,United States Naval Academy,78900,121500,humanities
19,19,Georgetown University,67000,121100,humanities
20,20,University of Virginia-Main Campus,60200,120500,humanities
21,21,Wesleyan University,64500,119600,humanities
22,22,Stanford University,71200,119600,humanities
23,23,Brandeis University,61300,118900,humanities
24,24,Middlebury College,62600,118700,humanities
25,0,Kenyon College,56900,118200,humanities
26,1,Haverford College,60500,118200,humanities
27,2,Tufts University,67200,118100,humanities
28,3,Vanderbilt University,66700,117800,humanities
29,4,University of Chicago,57900,117700,humanities
30,5,Northwestern University,63500,117100,humanities
31,6,Citadel Military College of South Carolina,66900,117000,humanities
32,7,University of California-San Diego,58900,116500,humanities
33,8,University of California-Santa Barbara,57200,115900,humanities
34,9,Brigham Young University,56000,115700,humanities
35,10,Trinity College,61800,115500,humanities
36,11,Washington and Lee University,62200,115500,humanities
37,12,Walla Walla University,57800,115400,humanities
38,13,Fordham University,60500,114600,humanities
39,14,Amherst College,63200,114500,humanities
40,15,University of Southern California,59300,114400,humanities
41,16,Barnard College,60400,113700,humanities
42,17,George Washington University,59700,113600,humanities
43,18,Fairfield University,60900,113500,humanities
44,19,Binghamton University,56600,113500,humanities
45,20,Wake Forest University,59900,113300,humanities
46,21,Whitman College,57400,112300,humanities
47,22,Franklin and Marshall College,61600,112200,humanities
48,23,Emory University,60200,112000,humanities
49,24,Wellesley College,62600,112000,humanities
50,0,Washington University in St Louis,61500,112000,humanities
51,1,Carnegie Mellon University,65400,111700,humanities
52,2,Wabash College,60800,111300,humanities
53,3,University of California-Davis,58400,111100,humanities
54,4,Gettysburg College,57100,110700,humanities
55,5,Saint Mary's College of California,60700,110400,humanities
56,6,Oglethorpe University,63200,110200,humanities
57,7,William & Mary,58700,109900,humanities
58,8,University of Rochester,57900,109800,humanities
59,9,Wittenberg University,49300,109800,humanities
60,10,Willamette University,54000,109800,humanities
61,11,University of California-Irvine,56100,109600,humanities
62,12,University of California-Los Angeles,57900,109400,humanities
63,13,Pomona College,58800,109300,humanities
64,14,Loyola Marymount University,58100,109100,humanities
65,15,Bates College,59600,109000,humanities
66,16,Syracuse University,59200,109000,humanities
67,17,William Jewell College,58000,108800,humanities
68,18,Vassar College,57300,108600,humanities
69,19,Occidental College,58800,108500,humanities
70,20,Seattle University,55700,108300,humanities
71,21,New York University,59300,108300,humanities
72,22,Virginia Polytechnic Institute and State University,56600,108100,humanities
73,23,Marist College,56700,107800,humanities
74,24,University of Colorado Boulder,56500,107300,humanities
75,0,Hobart William Smith Colleges,56900,107100,humanities
76,1,University of Michigan-Ann Arbor,57200,107000,humanities
77,2,Southern Methodist University,58800,106400,humanities
78,3,University of San Francisco,59000,106100,humanities
79,4,Clark University,54900,105900,humanities
80,5,James Madison University,54400,105800,humanities
81,6,Texas A & M University-College Station,50300,105700,humanities
82,7,George Mason University,55200,105700,humanities
83,8,Boston University,56000,105600,humanities
84,9,Hofstra University,52100,105600,humanities
85,10,Rutgers University-New Brunswick,56100,105400,humanities
86,11,American University,56400,105400,humanities
87,12,The University of the South,53900,105300,humanities
88,13,St. John's College (Maryland),57500,105300,humanities
89,14,The University of Texas at Austin,55800,105200,humanities
90,15,University of Delaware,55000,105100,humanities
91,16,University of Florida,52800,105000,humanities
92,17,Johns Hopkins University,59200,104900,humanities
93,18,University of Georgia,54300,104800,humanities
94,19,Bowdoin College,57100,104700,humanities
95,20,Virginia Military Institute,58500,104700,humanities
96,21,Villanova University,59200,104600,humanities
97,22,Stonehill College,52300,104400,humanities
98,23,North Central College,53900,104100,humanities
99,24,University of San Diego,53100,104000,humanities
100,0,Cornell College,50400,103900,humanities
101,1,Marquette University,50600,103700,humanities
102,2,SUNY at Albany,53600,103600,humanities
103,3,Sarah Lawrence College,56800,103400,humanities
104,4,Excelsior College,53000,103100,humanities
105,5,St Olaf College,53200,103000,humanities
106,6,Carleton College,56600,102900,humanities
107,7,University of Denver,53100,102900,humanities
108,8,Ithaca College,53000,102400,humanities
109,9,Sacred Heart University,59100,102200,humanities
110,10,Reed College,56100,102100,humanities
111,11,University of Washington-Seattle Campus,58500,102000,humanities
112,12,Franklin Pierce University,63200,102000,humanities
113,13,Colby College,65900,101900,humanities
114,14,Connecticut College,57500,101900,humanities
115,15,Providence College,56800,101800,humanities
116,16,University of Oregon,52400,101800,humanities
117,17,Dickinson College,58100,101600,humanities
118,18,Rollins College,52300,101600,humanities
119,19,Denison University,53400,101400,humanities
120,20,Furman University,55600,101300,humanities
121,21,Birmingham-Southern College,58900,101100,humanities
122,22,Hamilton College,64200,101100,humanities
123,23,Miami University-Oxford,53500,101000,humanities
124,24,University of Maryland-College Park,58600,100900,humanities
125,0,University of Illinois Urbana-Champaign,54500,100800,humanities
126,1,Assumption University,53100,100800,humanities
127,2,Gordon College,50100,100700,humanities
128,3,Gustavus Adolphus College,54600,100700,humanities
129,4,University of Connecticut,54500,100600,humanities
130,5,St. John's University-New York,54500,100600,humanities
131,6,University of Puget Sound,53600,100500,humanities
132,7,Lewis & Clark College,51100,100500,humanities
133,8,Emerson College,52400,100400,humanities
134,9,Gonzaga University,55600,100400,humanities
135,10,Mills College,53400,100300,humanities
136,11,University of St Thomas (Minnesota),57100,100300,humanities
137,12,Hartwick College,51500,100200,humanities
138,13,Scripps College,54500,100200,humanities
139,14,University of Wisconsin-Madison,54300,100100,humanities
140,15,California Polytechnic State University-San Luis Obispo,57000,100100,humanities
141,16,Lawrence University,50100,99700,humanities
142,17,Illinois State University,49100,99500,humanities
143,18,CUNY Queens College,48100,99300,humanities
144,19,Regis University,53000,99200,humanities
145,20,Suffolk University,53000,99200,humanities
146,21,University of the Pacific,53800,99100,humanities
147,22,SUNY College at Geneseo,53600,99100,humanities
148,23,Towson University,49200,99000,humanities
149,24,The College of New Jersey,53400,99000,humanities
150,0,Pace University,56900,98700,humanities
151,1,Lake Forest College,54700,98600,humanities
152,2,DePaul University,51600,98500,humanities
153,3,Rutgers University-Newark,51800,98200,humanities
154,4,Stony Brook University,54200,98200,humanities
155,5,University of Houston,52800,98200,humanities
156,6,University of Utah,49800,98100,humanities
157,7,Northeastern University,57200,98000,humanities
158,8,Whittier College,51900,97800,humanities
159,9,University of California-Santa Cruz,55800,97700,humanities
160,10,Thomas Aquinas College,53300,97700,humanities
161,11,DePauw University,57000,97700,humanities
162,12,San Jose State University,61200,97600,humanities
163,13,University of Vermont,51900,97600,humanities
164,14,Wofford College,52000,97500,humanities
165,15,Mount Holyoke College,54100,97400,humanities
166,16,Bard College,53800,97400,humanities
167,17,Austin College,53100,97400,humanities
168,18,California State University-Chico,51300,97300,humanities
169,19,Bethel University (Minnesota),48900,97300,humanities
170,20,University of South Dakota,49600,97300,humanities
171,21,Smith College,51500,97100,humanities
172,22,University of Rhode Island,55200,97100,humanities
173,23,West Virginia University,51000,97000,humanities
174,24,San Diego State University,50900,96900,humanities
175,0,University of Pittsburgh-Pittsburgh Campus,54000,96900,humanities
176,1,St Lawrence University,53700,96800,humanities
177,2,San Francisco State University,54800,96800,humanities
178,3,University of Hartford,49700,96700,humanities
179,4,Mount Saint Mary's University,51700,96600,humanities
180,5,Central Connecticut State University,49800,96500,humanities
181,6,Kalamazoo College,54500,96500,humanities
182,7,Saint Joseph's University,52000,96500,humanities
